Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
CNVRG,0.63,,₱1.02,,,₱83.42B,11.53,,7.27B,N/A (),,3.59M
COAL,0.06,,-₱0.010,,,₱732M,,,,N/A (),,71.69K
COL,0.07,1.40%,₱0.051,27-Apr-20,₱0.052,₱14.47B,58.48,,4.76B,N/A (),,301.2K
COSCO,0.43,3.72%,₱1.04,13-Jan-23,₱0.14,₱36.93B,4.94,,7.17B,N/A (),,2.51M
CPG,0.47,0.00%,₱0.060,04-Oct-21,₱0.005,₱4.06B,5.8,,,N/A (),,1.22M
CPM,0.15,,₱0.045,,,₱8.77B,69.89,,,N/A (),,28.6K
CREIT,0.3,7.10%,₱0.211,06-Jun-23,₱0.047,₱16.49B,11.97,,6.55B,N/A (),,1.83M
CROWN,0.13,5.84%,₱0.343,25-Aug-23,₱0.040,₱940.38M,4.49,,610.64M,N/A (),,76.85K
CSB,-0.39,,-₱10.21,,,₱1.28B,,,150.6M,N/A (),,89.23
CTS,0.32,,₱0.008,,,₱6.05B,104.82,,6.88B,N/A (),,862.05K
CYBR,0.36,,₱0.015,,,₱2.31B,22.45,,,N/A (),,942.62K
DD,0.41,3.32%,₱1.99,11-Oct-22,₱0.23,₱16.49B,3.52,,2.35B,N/A (),,165.93K
DDMPR,0.26,,₱0.334,,,₱22.82B,3.9,,,N/A (),,1.41M
DELM,0.35,8.70%,₱1.34,08-Jul-22,₱0.95,₱18.65B,8.14,,,N/A (),,40.61K
DFNN,0.19,,-₱0.399,,,₱913.1M,,,,N/A (),,244.54K
DHI,0.3,0.00%,₱0.032,06-Mar-18,₱0.100,₱6.83B,98.75,,,N/A (),,191.28K
DITO,0.78,,-₱0.803,,,₱35.23B,,,15.67B,N/A (),,4.66M
DIZ,0.01,,-₱0.108,,,₱308.44M,,,,N/A (),,9.03K
DMC,0.88,7.35%,₱2.07,12-Apr-21,₱0.13,₱127.46B,4.74,,,N/A (),,6.82M
